"County","FIPS","Year","Race/Ethnicity","Measure Type","Variable","Value"
"Connecticut","09","2005-2009","All","Number","Per Capita Income",36468
"Connecticut","09","2005-2009","All","Number","Margins of Error",235
"Connecticut","09","2005-2009","American Indian and Alaska Native Alone","Number","Per Capita Income",21924
"Connecticut","09","2005-2009","American Indian and Alaska Native Alone","Number","Margins of Error",2288
"Connecticut","09","2005-2009","Asian Alone","Number","Per Capita Income",37575
"Connecticut","09","2005-2009","Asian Alone","Number","Margins of Error",1463
"Connecticut","09","2005-2009","Black or African American Alone","Number","Per Capita Income",21003
"Connecticut","09","2005-2009","Black or African American Alone","Number","Margins of Error",452
"Connecticut","09","2005-2009","Hispanic or Latino","Number","Per Capita Income",18197
"Connecticut","09","2005-2009","Hispanic or Latino","Number","Margins of Error",413
"Connecticut","09","2005-2009","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",25346
"Connecticut","09","2005-2009","Native Hawaiian and Other Pacific Islander","Number","Margins of Error",8477
"Connecticut","09","2005-2009","Some Other Race Alone","Number","Per Capita Income",16456
"Connecticut","09","2005-2009","Some Other Race Alone","Number","Margins of Error",664
"Connecticut","09","2005-2009","Two or More Races","Number","Per Capita Income",16571
"Connecticut","09","2005-2009","Two or More Races","Number","Margins of Error",993
"Connecticut","09","2005-2009","White Alone","Number","Per Capita Income",40050
"Connecticut","09","2005-2009","White Alone","Number","Margins of Error",280
"Connecticut","09","2005-2009","White Alone Not Hispanic or Latino","Number","Per Capita Income",41610
"Connecticut","09","2005-2009","White Alone Not Hispanic or Latino","Number","Margins of Error",298
"Connecticut","09","2006-2010","All","Number","Per Capita Income",36775
"Connecticut","09","2006-2010","All","Number","Margins of Error",218
"Connecticut","09","2006-2010","American Indian and Alaska Native Alone","Number","Per Capita Income",22611
"Connecticut","09","2006-2010","American Indian and Alaska Native Alone","Number","Margins of Error",2253
"Connecticut","09","2006-2010","Asian Alone","Number","Per Capita Income",36548
"Connecticut","09","2006-2010","Asian Alone","Number","Margins of Error",1298
"Connecticut","09","2006-2010","Black or African American Alone","Number","Per Capita Income",21470
"Connecticut","09","2006-2010","Black or African American Alone","Number","Margins of Error",354
"Connecticut","09","2006-2010","Hispanic or Latino","Number","Per Capita Income",17752
"Connecticut","09","2006-2010","Hispanic or Latino","Number","Margins of Error",407
"Connecticut","09","2006-2010","Native Hawaiian and Other Pacific Islander","Number","Per Capita Income",22979
