"County","FIPS","Year","Race/Ethnicity","Age","Poverty Status","Measure Type","Variable","Value"
"Connecticut","09","2005-2009","All","Total","Below Poverty Level","Number","Poverty Status",295608
"Connecticut","09","2005-2009","All","Total","Below Poverty Level","Number","Margins of Error",6063
"Connecticut","09","2005-2009","All","Total","Below Poverty Level","Percent","Poverty Status",8.74
"Connecticut","09","2005-2009","All","Total","Below Poverty Level","Percent","Margins of Error",0.18
"Connecticut","09","2005-2009","All","Total","Poverty Status Determined","Number","Poverty Status",3382564
"Connecticut","09","2005-2009","All","Total","Poverty Status Determined","Number","Margins of Error",1004
"Connecticut","09","2005-2009","All","Under 18","Below Poverty Level","Number","Poverty Status",94985
"Connecticut","09","2005-2009","All","Under 18","Below Poverty Level","Number","Margins of Error",2254.6
"Connecticut","09","2005-2009","All","Under 18","Below Poverty Level","Percent","Poverty Status",11.72
"Connecticut","09","2005-2009","All","Under 18","Below Poverty Level","Percent","Margins of Error",0.27
"Connecticut","09","2005-2009","All","Under 18","Poverty Status Determined","Number","Poverty Status",810441
"Connecticut","09","2005-2009","All","Under 18","Poverty Status Determined","Number","Margins of Error",4660.71
"Connecticut","09","2005-2009","All","Under 18","Poverty Status Determined","Percent","Poverty Status",23.96
"Connecticut","09","2005-2009","All","Under 18","Poverty Status Determined","Percent","Margins of Error",0.14
"Connecticut","09","2005-2009","American Indian and Alaska Native Alone","Total","Below Poverty Level","Number","Poverty Status",1077
"Connecticut","09","2005-2009","American Indian and Alaska Native Alone","Total","Below Poverty Level","Number","Margins of Error",414
"Connecticut","09","2005-2009","American Indian and Alaska Native Alone","Total","Below Poverty Level","Percent","Poverty Status",14.01
"Connecticut","09","2005-2009","American Indian and Alaska Native Alone","Total","Below Poverty Level","Percent","Margins of Error",5.09
"Connecticut","09","2005-2009","American Indian and Alaska Native Alone","Total","Poverty Status Determined","Number","Poverty Status",7686
"Connecticut","09","2005-2009","American Indian and Alaska Native Alone","Total","Poverty Status Determined","Number","Margins of Error",973
"Connecticut","09","2005-2009","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Number","Poverty Status",241
"Connecticut","09","2005-2009","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Number","Margins of Error",288.18
"Connecticut","09","2005-2009","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Percent","Poverty Status",12.08
"Connecticut","09","2005-2009","American Indian and Alaska Native Alone","Under 18","Below Poverty Level","Percent","Margins of Error",14.21
"Connecticut","09","2005-2009","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Number","Poverty Status",1995
"Connecticut","09","2005-2009","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Number","Margins of Error",427.52
"Connecticut","09","2005-2009","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",25.96
"Connecticut","09","2005-2009","American Indian and Alaska Native Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",4.49
"Connecticut","09","2005-2009","Asian Alone","Total","Below Poverty Level","Number","Poverty Status",8531
"Connecticut","09","2005-2009","Asian Alone","Total","Below Poverty Level","Number","Margins of Error",1206
"Connecticut","09","2005-2009","Asian Alone","Total","Below Poverty Level","Percent","Poverty Status",7.53
"Connecticut","09","2005-2009","Asian Alone","Total","Below Poverty Level","Percent","Margins of Error",1.06
"Connecticut","09","2005-2009","Asian Alone","Total","Poverty Status Determined","Number","Poverty Status",113299
"Connecticut","09","2005-2009","Asian Alone","Total","Poverty Status Determined","Number","Margins of Error",960
"Connecticut","09","2005-2009","Asian Alone","Under 18","Below Poverty Level","Number","Poverty Status",2357
"Connecticut","09","2005-2009","Asian Alone","Under 18","Below Poverty Level","Number","Margins of Error",379.69
"Connecticut","09","2005-2009","Asian Alone","Under 18","Below Poverty Level","Percent","Poverty Status",7.98
"Connecticut","09","2005-2009","Asian Alone","Under 18","Below Poverty Level","Percent","Margins of Error",1.26
"Connecticut","09","2005-2009","Asian Alone","Under 18","Poverty Status Determined","Number","Poverty Status",29537
"Connecticut","09","2005-2009","Asian Alone","Under 18","Poverty Status Determined","Number","Margins of Error",950.98
"Connecticut","09","2005-2009","Asian Alone","Under 18","Poverty Status Determined","Percent","Poverty Status",26.07
"Connecticut","09","2005-2009","Asian Alone","Under 18","Poverty Status Determined","Percent","Margins of Error",0.81
"Connecticut","09","2005-2009","Black or African American Alone","Total","Below Poverty Level","Number","Poverty Status",58798
"Connecticut","09","2005-2009","Black or African American Alone","Total","Below Poverty Level","Number","Margins of Error",2693
"Connecticut","09","2005-2009","Black or African American Alone","Total","Below Poverty Level","Percent","Poverty Status",18.76
"Connecticut","09","2005-2009","Black or African American Alone","Total","Below Poverty Level","Percent","Margins of Error",0.85
"Connecticut","09","2005-2009","Black or African American Alone","Total","Poverty Status Determined","Number","Poverty Status",313470
"Connecticut","09","2005-2009","Black or African American Alone","Total","Poverty Status Determined","Number","Margins of Error",2178
