"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","CPNCU","Current prices in NCU","2000","2000","USD","US Dollar","0","Units",,,38964.2447580121,,
"USA","United States","CPNCU","Current prices in NCU","2001","2001","USD","US Dollar","0","Units",,,40048.5549108827,,
"USA","United States","CPNCU","Current prices in NCU","2002","2002","USD","US Dollar","0","Units",,,40896.0539127083,,
"USA","United States","CPNCU","Current prices in NCU","2003","2003","USD","US Dollar","0","Units",,,42201.4264975619,,
"USA","United States","CPNCU","Current prices in NCU","2004","2004","USD","US Dollar","0","Units",,,44056.8946864841,,
"USA","United States","CPNCU","Current prices in NCU","2005","2005","USD","US Dollar","0","Units",,,45363.873256712,,
"USA","United States","CPNCU","Current prices in NCU","2006","2006","USD","US Dollar","0","Units",,,47337.3840475208,,
"USA","United States","CPNCU","Current prices in NCU","2007","2007","USD","US Dollar","0","Units",,,49504.8236303588,,
"USA","United States","CPNCU","Current prices in NCU","2008","2008","USD","US Dollar","0","Units",,,50818.5553435538,,
"USA","United States","CPNCU","Current prices in NCU","2009","2009","USD","US Dollar","0","Units",,,51182.3133706203,,
"USA","United States","CPNCU","Current prices in NCU","2010","2010","USD","US Dollar","0","Units",,,52554.9927085618,,
"USA","United States","CPNCU","Current prices in NCU","2011","2011","USD","US Dollar","0","Units",,,53961.0474001171,,
"USA","United States","CPNCU","Current prices in NCU","2012","2012","USD","US Dollar","0","Units",,,55441.1928378293,,
"USA","United States","CPNCU","Current prices in NCU","2013","2013","USD","US Dollar","0","Units",,,55925.4840937499,,
"USA","United States","CPNCU","Current prices in NCU","2014","2014","USD","US Dollar","0","Units",,,57591.5625257479,,
"USA","United States","CPNCU","Current prices in NCU","2015","2015","USD","US Dollar","0","Units",,,59154.4782968316,,
"USA","United States","CPNCU","Current prices in NCU","2016","2016","USD","US Dollar","0","Units",,,59846.6878818409,,
"USA","United States","CPNCU","Current prices in NCU","2017","2017","USD","US Dollar","0","Units",,,61536.1511074598,,
"USA","United States","CPNCU","Current prices in NCU","2018","2018","USD","US Dollar","0","Units",,,63475.2860650917,,
"USA","United States","CPNCU","Current prices in NCU","2019","2019","USD","US Dollar","0","Units",,,65835.5776448653,,
"USA","United States","CNPNCU","2019 constant prices and NCU","2000","2000","USD","US Dollar","0","Units","2019","2019",54641.5093024726,,
"USA","United States","CNPNCU","2019 constant prices and NCU","2001","2001","USD","US Dollar","0","Units","2019","2019",55103.6498001512,,
"USA","United States","CNPNCU","2019 constant prices and NCU","2002","2002","USD","US Dollar","0","Units","2019","2019",55537.4969649171,,
"USA","United States","CNPNCU","2019 constant prices and NCU","2003","2003","USD","US Dollar","0","Units","2019","2019",56218.6600380477,,
"USA","United States","CNPNCU","2019 constant prices and NCU","2004","2004","USD","US Dollar","0","Units","2019","2019",57262.6606827344,,
"USA","United States","CNPNCU","2019 constant prices and NCU","2005","2005","USD","US Dollar","0","Units","2019","2019",57330.6597042675,,
"USA","United States","CNPNCU","2019 constant prices and NCU","2006","2006","USD","US Dollar","0","Units","2019","2019",58240.25669456,,
"USA","United States","CNPNCU","2019 constant prices and NCU","2007","2007","USD","US Dollar","0","Units","2019","2019",59399.2123992877,,
"USA","United States","CNPNCU","2019 constant prices and NCU","2008","2008","USD","US Dollar","0","Units","2019","2019",59200.1003753053,,
"USA","United States","CNPNCU","2019 constant prices and NCU","2009","2009","USD","US Dollar","0","Units","2019","2019",59678.294535583,,
"USA","United States","CNPNCU","2019 constant prices and NCU","2010","2010","USD","US Dollar","0","Units","2019","2019",60247.5254500089,,
"USA","United States","CNPNCU","2019 constant prices and NCU","2011","2011","USD","US Dollar","0","Units","2019","2019",60330.2125061234,,
